"TIME","GEO","UNIT","PROD_NRG","ENGINE","Value","Flag and Footnotes"
"1995","Hungary","Number","All Petroleum Products","Total","2,059,570",""
"1995","Hungary","Number","Diesel","Total","18,465",""
"1995","Malta","Number","All Petroleum Products","Total",":",""
"1995","Malta","Number","Diesel","Total",":",""
"1995","Netherlands","Number","All Petroleum Products","Total","4,682,000",""
"1995","Netherlands","Number","Diesel","Total","623,000",""
"1995","Austria","Number","All Petroleum Products","Total","2,767,000",""
"1995","Austria","Number","Diesel","Total","827,000",""
"1995","Poland","Number","All Petroleum Products","Total","6,771,000",""
"1995","Poland","Number","Diesel","Total","736,000",""
"1995","Portugal","Number","All Petroleum Products","Total",":",""
"1995","Portugal","Number","Diesel","Total",":",""
"1995","Romania","Number","All Petroleum Products","Total","2,032,250",""
"1995","Romania","Number","Diesel","Total","165,227",""
"1995","Slovenia","Number","All Petroleum Products","Total","641,000",""
"1995","Slovenia","Number","Diesel","Total","56,000",""
"1995","Slovakia","Number","All Petroleum Products","Total",":",""
"1995","Slovakia","Number","Diesel","Total",":",""
"1995","Finland","Number","All Petroleum Products","Total","1,742,000",""
"1995","Finland","Number","Diesel","Total","143,000",""
"1995","Sweden","Number","All Petroleum Products","Total","3,534,000",""
"1995","Sweden","Number","Diesel","Total","96,000",""
"1995","United Kingdom","Number","All Petroleum Products","Total","19,533,000",""
"1995","United Kingdom","Number","Diesel","Total","1,891,000",""
"1995","Iceland","Number","All Petroleum Products","Total","113,000",""
"1995","Iceland","Number","Diesel","Total","6,000",""
"1995","Liechtenstein","Number","All Petroleum Products","Total","18,000",""
"1995","Liechtenstein","Number","Diesel","Total","1,000",""
"1995","Norway","Number","All Petroleum Products","Total","1,601,000",""
"1995","Norway","Number","Diesel","Total","83,000","d"
"1995","Switzerland","Number","All Petroleum Products","Total","3,132,000",""
"1995","Switzerland","Number","Diesel","Total","96,000",""
"1995","Former Yugoslav Republic of Macedonia, the","Number","All Petroleum Products","Total","277,971",""
"1995","Former Yugoslav Republic of Macedonia, the","Number","Diesel","Total","6,663",""
"1995","Turkey","Number","All Petroleum Products","Total",":",""
"1995","Turkey","Number","Diesel","Total",":",""
"1996","Belgium","Number","All Petroleum Products","Total","2,828,000","d"
"1996","Belgium","Number","Diesel","Total","1,458,000","d"
"1996","Bulgaria","Number","All Petroleum Products","Total",":",""
"1996","Bulgaria","Number","Diesel","Total",":",""
"1996","Czech Republic","Number","All Petroleum Products","Total","2,959,896",""
"1996","Czech Republic","Number","Diesel","Total","223,823",""
"1996","Denmark","Number","All Petroleum Products","Total","1,659,000",""
"1996","Denmark","Number","Diesel","Total","79,000",""
"1996","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","Total","35,352,000","d"
"1996","Germany (until 1990 former territory of the FRG)","Number","Diesel","Total","5,631,000","d"
"1996","Estonia","Number","All Petroleum Products","Total",":",""
"1996","Estonia","Number","Diesel","Total",":",""
"1996","Ireland","Number","All Petroleum Products","Total","907,700",""
"1996","Ireland","Number","Diesel","Total","148,600",""
"1996","Greece","Number","All Petroleum Products","Total","2,308,000",""
"1996","Greece","Number","Diesel","Total","29,000",""
"1996","Spain","Number","All Petroleum Products","Total","12,362,000",""
"1996","Spain","Number","Diesel","Total","2,391,000",""
"1996","France","Number","All Petroleum Products","Total",":",""
"1996","France","Number","Diesel","Total","7,470,000",""
"1996","Croatia","Number","All Petroleum Products","Total","681,000",""
"1996","Croatia","Number","Diesel","Total","155,000",""
"1996","Italy","Number","All Petroleum Products","Total","25,556,000",""
"1996","Italy","Number","Diesel","Total","3,194,000",""
"1996","Cyprus","Number","All Petroleum Products","Total","208,000",""
"1996","Cyprus","Number","Diesel","Total","19,000",""
"1996","Latvia","Number","All Petroleum Products","Total","368,012",""
"1996","Latvia","Number","Diesel","Total","11,716",""
"1996","Lithuania","Number","All Petroleum Products","Total",":",""
"1996","Lithuania","Number","Diesel","Total",":",""
"1996","Luxembourg","Number","All Petroleum Products","Total",":",""
"1996","Luxembourg","Number","Diesel","Total",":",""
"1996","Hungary","Number","All Petroleum Products","Total","2,070,603",""
"1996","Hungary","Number","Diesel","Total","193,637",""
"1996","Malta","Number","All Petroleum Products","Total",":",""
"1996","Malta","Number","Diesel","Total",":",""
"1996","Netherlands","Number","All Petroleum Products","Total","4,802,000",""
"1996","Netherlands","Number","Diesel","Total","636,000",""
"1996","Austria","Number","All Petroleum Products","Total","2,733,000",""
"1996","Austria","Number","Diesel","Total","957,000",""
"1996","Poland","Number","All Petroleum Products","Total","7,250,668",""
"1996","Poland","Number","Diesel","Total","792,281",""
"1996","Portugal","Number","All Petroleum Products","Total",":",""
"1996","Portugal","Number","Diesel","Total",":",""
"1996","Romania","Number","All Petroleum Products","Total","2,213,229",""
"1996","Romania","Number","Diesel","Total","178,640",""
"1996","Slovenia","Number","All Petroleum Products","Total","667,000",""
"1996","Slovenia","Number","Diesel","Total","59,000",""
"1996","Slovakia","Number","All Petroleum Products","Total",":",""
"1996","Slovakia","Number","Diesel","Total",":",""
"1996","Finland","Number","All Petroleum Products","Total","1,777,000","d"
"1996","Finland","Number","Diesel","Total","152,000","d"
"1996","Sweden","Number","All Petroleum Products","Total","3,549,000",""
"1996","Sweden","Number","Diesel","Total","105,000",""
"1996","United Kingdom","Number","All Petroleum Products","Total","20,052,000",""
"1996","United Kingdom","Number","Diesel","Total","2,215,000",""
"1996","Iceland","Number","All Petroleum Products","Total","117,000",""
"1996","Iceland","Number","Diesel","Total","8,000",""
"1996","Liechtenstein","Number","All Petroleum Products","Total","18,000",""
"1996","Liechtenstein","Number","Diesel","Total","1,000",""
"1996","Norway","Number","All Petroleum Products","Total","1,568,000",""
"1996","Norway","Number","Diesel","Total","93,000","d"
"1996","Switzerland","Number","All Petroleum Products","Total","3,166,000",""
"1996","Switzerland","Number","Diesel","Total","100,000",""
"1996","Former Yugoslav Republic of Macedonia, the","Number","All Petroleum Products","Total","275,900",""
"1996","Former Yugoslav Republic of Macedonia, the","Number","Diesel","Total","7,155",""
"1996","Turkey","Number","All Petroleum Products","Total",":",""
"1996","Turkey","Number","Diesel","Total",":",""
"1997","Belgium","Number","All Petroleum Products","Total","2,815,000","d"
"1997","Belgium","Number","Diesel","Total","1,541,000","d"
"1997","Bulgaria","Number","All Petroleum Products","Total",":",""
"1997","Bulgaria","Number","Diesel","Total",":",""
"1997","Czech Republic","Number","All Petroleum Products","Total","3,123,451",""
"1997","Czech Republic","Number","Diesel","Total","259,209",""
