"TIME","GEO","UNIT","PROD_NRG","Value","Flag and Footnotes"
"1992","Liechtenstein","Thousand","Other products",":",""
"1992","Norway","Thousand","LPG",":",""
"1992","Norway","Thousand","Natural Gas",":",""
"1992","Norway","Thousand","Electrical Energy",":",""
"1992","Norway","Thousand","Other products",":",""
"1992","Switzerland","Thousand","LPG",":",""
"1992","Switzerland","Thousand","Natural Gas",":",""
"1992","Switzerland","Thousand","Electrical Energy","1",""
"1992","Switzerland","Thousand","Other products",":",""
"1992","Former Yugoslav Republic of Macedonia, the","Thousand","LPG",":",""
"1992","Former Yugoslav Republic of Macedonia, the","Thousand","Natural Gas",":",""
"1992","Former Yugoslav Republic of Macedonia, the","Thousand","Electrical Energy",":",""
"1992","Former Yugoslav Republic of Macedonia, the","Thousand","Other products",":",""
"1992","Turkey","Thousand","LPG",":",""
"1992","Turkey","Thousand","Natural Gas",":",""
"1992","Turkey","Thousand","Electrical Energy",":",""
"1992","Turkey","Thousand","Other products",":",""
"1993","Belgium","Thousand","LPG",":",""
"1993","Belgium","Thousand","Natural Gas",":",""
"1993","Belgium","Thousand","Electrical Energy","0",""
"1993","Belgium","Thousand","Other products",":",""
"1993","Czech Republic","Thousand","LPG",":",""
"1993","Czech Republic","Thousand","Natural Gas",":",""
"1993","Czech Republic","Thousand","Electrical Energy","0",""
"1993","Czech Republic","Thousand","Other products",":",""
"1993","Denmark","Thousand","LPG",":",""
"1993","Denmark","Thousand","Natural Gas",":",""
"1993","Denmark","Thousand","Electrical Energy",":",""
"1993","Denmark","Thousand","Other products",":",""
"1993","Germany (until 1990 former territory of the FRG)","Thousand","LPG",":",""
"1993","Germany (until 1990 former territory of the FRG)","Thousand","Natural Gas",":",""
"1993","Germany (until 1990 former territory of the FRG)","Thousand","Electrical Energy","2",""
"1993","Germany (until 1990 former territory of the FRG)","Thousand","Other products",":",""
"1993","Estonia","Thousand","LPG",":",""
"1993","Estonia","Thousand","Natural Gas",":",""
"1993","Estonia","Thousand","Electrical Energy",":",""
"1993","Estonia","Thousand","Other products",":",""
"1993","Ireland","Thousand","LPG",":",""
"1993","Ireland","Thousand","Natural Gas",":",""
"1993","Ireland","Thousand","Electrical Energy",":",""
"1993","Ireland","Thousand","Other products",":",""
"1993","Spain","Thousand","LPG",":",""
"1993","Spain","Thousand","Natural Gas",":",""
"1993","Spain","Thousand","Electrical Energy",":",""
"1993","Spain","Thousand","Other products",":",""
"1993","France","Thousand","LPG",":",""
"1993","France","Thousand","Natural Gas",":",""
"1993","France","Thousand","Electrical Energy",":",""
"1993","France","Thousand","Other products",":",""
"1993","Croatia","Thousand","LPG",":",""
"1993","Croatia","Thousand","Natural Gas",":",""
"1993","Croatia","Thousand","Electrical Energy",":",""
"1993","Croatia","Thousand","Other products",":",""
"1993","Italy","Thousand","LPG",":",""
"1993","Italy","Thousand","Natural Gas",":",""
"1993","Italy","Thousand","Electrical Energy",":",""
"1993","Italy","Thousand","Other products",":",""
"1993","Cyprus","Thousand","LPG","0",""
"1993","Cyprus","Thousand","Natural Gas","0",""
"1993","Cyprus","Thousand","Electrical Energy","0",""
"1993","Cyprus","Thousand","Other products","0",""
"1993","Latvia","Thousand","LPG",":",""
"1993","Latvia","Thousand","Natural Gas",":",""
"1993","Latvia","Thousand","Electrical Energy","0",""
"1993","Latvia","Thousand","Other products",":",""
"1993","Luxembourg","Thousand","LPG",":",""
"1993","Luxembourg","Thousand","Natural Gas",":",""
"1993","Luxembourg","Thousand","Electrical Energy","0",""
"1993","Luxembourg","Thousand","Other products",":",""
"1993","Hungary","Thousand","LPG",":",""
"1993","Hungary","Thousand","Natural Gas",":",""
"1993","Hungary","Thousand","Electrical Energy","0",""
"1993","Hungary","Thousand","Other products",":",""
"1993","Malta","Thousand","LPG",":",""
"1993","Malta","Thousand","Natural Gas",":",""
"1993","Malta","Thousand","Electrical Energy",":",""
"1993","Malta","Thousand","Other products",":",""
"1993","Netherlands","Thousand","LPG",":",""
"1993","Netherlands","Thousand","Natural Gas",":",""
"1993","Netherlands","Thousand","Electrical Energy",":",""
"1993","Netherlands","Thousand","Other products",":",""
"1993","Austria","Thousand","LPG",":",""
"1993","Austria","Thousand","Natural Gas",":",""
"1993","Austria","Thousand","Electrical Energy",":",""
"1993","Austria","Thousand","Other products",":",""
"1993","Poland","Thousand","LPG",":",""
"1993","Poland","Thousand","Natural Gas",":",""
"1993","Poland","Thousand","Electrical Energy",":",""
"1993","Poland","Thousand","Other products",":",""
"1993","Portugal","Thousand","LPG",":",""
"1993","Portugal","Thousand","Natural Gas",":",""
"1993","Portugal","Thousand","Electrical Energy",":",""
"1993","Portugal","Thousand","Other products",":",""
"1993","Romania","Thousand","LPG",":",""
"1993","Romania","Thousand","Natural Gas",":",""
"1993","Romania","Thousand","Electrical Energy",":",""
"1993","Romania","Thousand","Other products",":",""
"1993","Slovenia","Thousand","LPG",":",""
"1993","Slovenia","Thousand","Natural Gas",":",""
"1993","Slovenia","Thousand","Electrical Energy","1",""
"1993","Slovenia","Thousand","Other products",":",""
"1993","Slovakia","Thousand","LPG",":",""
"1993","Slovakia","Thousand","Natural Gas",":",""
"1993","Slovakia","Thousand","Electrical Energy",":",""
"1993","Slovakia","Thousand","Other products",":",""
"1993","Finland","Thousand","LPG",":",""
"1993","Finland","Thousand","Natural Gas","0",""
"1993","Finland","Thousand","Electrical Energy","0",""
"1993","Finland","Thousand","Other products",":",""
"1993","Sweden","Thousand","LPG",":",""
"1993","Sweden","Thousand","Natural Gas",":",""
"1993","Sweden","Thousand","Electrical Energy",":",""
"1993","Sweden","Thousand","Other products",":",""
"1993","United Kingdom","Thousand","LPG",":",""
"1993","United Kingdom","Thousand","Natural Gas",":",""
"1993","United Kingdom","Thousand","Electrical Energy",":",""
"1993","United Kingdom","Thousand","Other products",":",""
"1993","Iceland","Thousand","LPG",":",""
"1993","Iceland","Thousand","Natural Gas",":",""
"1993","Iceland","Thousand","Electrical Energy","0",""
"1993","Iceland","Thousand","Other products",":",""
"1993","Liechtenstein","Thousand","LPG",":",""
"1993","Liechtenstein","Thousand","Natural Gas",":",""
"1993","Liechtenstein","Thousand","Electrical Energy",":",""
"1993","Liechtenstein","Thousand","Other products",":",""
"1993","Norway","Thousand","LPG",":",""
"1993","Norway","Thousand","Natural Gas",":",""
"1993","Norway","Thousand","Electrical Energy",":",""
"1993","Norway","Thousand","Other products",":",""
"1993","Switzerland","Thousand","LPG",":",""
"1993","Switzerland","Thousand","Natural Gas",":",""
"1993","Switzerland","Thousand","Electrical Energy","1",""
"1993","Switzerland","Thousand","Other products",":",""
"1993","Former Yugoslav Republic of Macedonia, the","Thousand","LPG",":",""
"1993","Former Yugoslav Republic of Macedonia, the","Thousand","Natural Gas",":",""
"1993","Former Yugoslav Republic of Macedonia, the","Thousand","Electrical Energy","2",""
"1993","Former Yugoslav Republic of Macedonia, the","Thousand","Other products",":",""
"1993","Turkey","Thousand","LPG",":",""
"1993","Turkey","Thousand","Natural Gas",":",""
"1993","Turkey","Thousand","Electrical Energy",":",""
"1993","Turkey","Thousand","Other products",":",""
"1994","Belgium","Thousand","LPG",":",""
"1994","Belgium","Thousand","Natural Gas",":",""
"1994","Belgium","Thousand","Electrical Energy","0",""
"1994","Belgium","Thousand","Other products",":",""
"1994","Czech Republic","Thousand","LPG",":",""
"1994","Czech Republic","Thousand","Natural Gas",":",""
"1994","Czech Republic","Thousand","Electrical Energy","0",""
"1994","Czech Republic","Thousand","Other products",":",""
"1994","Denmark","Thousand","LPG",":",""
"1994","Denmark","Thousand","Natural Gas",":",""
"1994","Denmark","Thousand","Electrical Energy",":",""
"1994","Denmark","Thousand","Other products",":",""
"1994","Germany (until 1990 former territory of the FRG)","Thousand","LPG",":",""
"1994","Germany (until 1990 former territory of the FRG)","Thousand","Natural Gas",":",""
"1994","Germany (until 1990 former territory of the FRG)","Thousand","Electrical Energy","2",""
"1994","Germany (until 1990 former territory of the FRG)","Thousand","Other products",":",""
"1994","Estonia","Thousand","LPG",":",""
"1994","Estonia","Thousand","Natural Gas",":",""
"1994","Estonia","Thousand","Electrical Energy",":",""
"1994","Estonia","Thousand","Other products",":",""
"1994","Ireland","Thousand","LPG",":",""
"1994","Ireland","Thousand","Natural Gas",":",""
"1994","Ireland","Thousand","Electrical Energy",":",""
"1994","Ireland","Thousand","Other products",":",""
"1994","Spain","Thousand","LPG",":",""
"1994","Spain","Thousand","Natural Gas",":",""
"1994","Spain","Thousand","Electrical Energy",":",""
"1994","Spain","Thousand","Other products",":",""
"1994","France","Thousand","LPG",":",""
"1994","France","Thousand","Natural Gas",":",""
"1994","France","Thousand","Electrical Energy",":",""
"1994","France","Thousand","Other products",":",""
"1994","Croatia","Thousand","LPG",":",""
"1994","Croatia","Thousand","Natural Gas",":",""
"1994","Croatia","Thousand","Electrical Energy",":",""
"1994","Croatia","Thousand","Other products",":",""
"1994","Italy","Thousand","LPG",":",""
"1994","Italy","Thousand","Natural Gas",":",""
"1994","Italy","Thousand","Electrical Energy",":",""
"1994","Italy","Thousand","Other products",":",""
"1994","Cyprus","Thousand","LPG","0",""
"1994","Cyprus","Thousand","Natural Gas","0",""
"1994","Cyprus","Thousand","Electrical Energy","0",""
"1994","Cyprus","Thousand","Other products","0",""
"1994","Latvia","Thousand","LPG",":",""
"1994","Latvia","Thousand","Natural Gas",":",""
"1994","Latvia","Thousand","Electrical Energy","0",""
"1994","Latvia","Thousand","Other products",":",""
"1994","Luxembourg","Thousand","LPG",":",""
"1994","Luxembourg","Thousand","Natural Gas",":",""
"1994","Luxembourg","Thousand","Electrical Energy","0",""
"1994","Luxembourg","Thousand","Other products",":",""
"1994","Hungary","Thousand","LPG",":",""
"1994","Hungary","Thousand","Natural Gas",":",""
"1994","Hungary","Thousand","Electrical Energy","0",""
"1994","Hungary","Thousand","Other products",":",""
"1994","Malta","Thousand","LPG",":",""
"1994","Malta","Thousand","Natural Gas",":",""
"1994","Malta","Thousand","Electrical Energy",":",""
"1994","Malta","Thousand","Other products",":",""
"1994","Netherlands","Thousand","LPG",":",""
"1994","Netherlands","Thousand","Natural Gas",":",""
